step,ed_vs_baseline_generalising,sw_vs_baseline_generalising,ed_vs_baseline_memorising,sw_vs_baseline_memorising,ed_vs_baseline_generalising_from_prompts_generalising,sw_vs_baseline_generalising_from_prompts_generalising,ed_vs_baseline_memorising_from_prompts_generalising,sw_vs_baseline_memorising_from_prompts_generalising,ed_vs_baseline_generalising_from_prompts_memorising,sw_vs_baseline_generalising_from_prompts_memorising,ed_vs_baseline_memorising_from_prompts_memorising,sw_vs_baseline_memorising_from_prompts_memorising,delta_vs_baseline_generalising_on_data_memorising,delta_vs_baseline_memorising_on_data_memorising,delta_vs_baseline_generalising_on_data_generalising,delta_vs_baseline_memorising_on_data_generalising
1,0.09420907497406006,0.04770404154440877,0.09628963470458984,0.04446483054191257,0.21963287610560656,0.05682033864613692,0.2879119721474126,0.0559886468161226,0.19999094121158123,0.05373669766694572,0.34446401544846594,0.05766625486376452,0.2874467372894287,0.36444008350372314,0.29628026485443115,0.327358603477478
6,0.08137628436088562,0.04481029919912562,0.059750765562057495,0.038245142297535735,0.18297586974222213,0.051358169124837434,0.24433800904080272,0.051055479394351344,0.17169470223598182,0.05055858135803873,0.30368788016494364,0.0548369058780963,0.14937205612659454,0.1975933015346527,0.15756559371948242,0.16675175726413727
11,0.04229170083999634,0.03458426738837522,0.04025566577911377,0.031134322788246065,0.14040060667321086,0.043769389883094215,0.20678158022928983,0.04438568643507412,0.12370764731895179,0.04086712237651957,0.2514973863144405,0.0461940896648939,0.09712352603673935,0.13900545239448547,0.10845843702554703,0.11810319870710373
16,0.043862879276275635,0.03480997058028999,0.042977869510650635,0.031260690832461545,0.1381772841559723,0.043560983219763524,0.20100412919418886,0.04412573397706253,0.12751459062565118,0.04175438279718309,0.25210539338877425,0.047123326534162686,0.08341063559055328,0.12307530641555786,0.09708729386329651,0.10540460795164108
21,0.04810088872909546,0.035521033053210076,0.02928835153579712,0.02785115165213744,0.12761028960812837,0.041621683150231056,0.18831035197945312,0.04369792101110373,0.11014738900121301,0.03927255754421479,0.22466210217680782,0.045609250049452044,0.08612074702978134,0.11399271339178085,0.10174548625946045,0.10187583416700363
28,0.010343402624130249,0.020510457454408795,0.004799991846084595,0.015945175989332115,0.09854447678662837,0.03627940107323638,0.1700759903760627,0.04192778312536935,0.08382036036346108,0.03417306310580921,0.19183457072358578,0.042650512624561245,0.0782179981470108,0.10369569063186646,0.09156493842601776,0.09648594260215759
38,0.00869441032409668,0.01876554287143195,0.008903861045837402,0.018470060701089464,0.0821206133114174,0.033470878412748706,0.16565581306349486,0.04176952145392279,0.06971478182822466,0.03128815921260991,0.18206763145281002,0.04154295617917259,0.06287287920713425,0.09053000807762146,0.0740550085902214,0.08298078179359436
51,0.011443078517913818,0.020165031667492807,0.011181652545928955,0.019115350229167497,0.08302135474514216,0.033671708429850615,0.15808161190943792,0.04119769609388859,0.0702329509658739,0.03132089502552713,0.16958083771169186,0.04018338219179786,0.05377225577831268,0.0782279223203659,0.06279263645410538,0.07225915789604187
68,0.012551814317703247,0.02207266208261971,0.014834553003311157,0.020523475663598748,0.08700239553581923,0.034559424988234264,0.165551945916377,0.04330098676268143,0.08211664285045117,0.033731128339200174,0.1793913184083067,0.042166992939657574,0.04935725778341293,0.06944528222084045,0.05685308575630188,0.0637807697057724
91,0.018080800771713257,0.02398179060749722,0.012150734663009644,0.020807766159420885,0.07647421525325626,0.03286647597001956,0.15843576553743333,0.041939269425985824,0.07210726605262607,0.032214970774958086,0.1717346853693016,0.04157222705065168,0.0445760041475296,0.06355820596218109,0.05048026517033577,0.05680840462446213
