run_id,num_tasks,checkpoint_step,data_memorising/delta_vs_baseline_generalising,data_memorising/delta_vs_baseline_memorising,data_generalising/delta_vs_baseline_generalising,data_generalising/delta_vs_baseline_memorising,prompt_source,dist/ed_vs_baseline_generalising,dist/ed_vs_baseline_memorising,dist/sw_vs_baseline_generalising,dist/sw_vs_baseline_memorising
lju0lrkc,1,100000,0.2743907868862152,3.285632192273624e-05,0.49362391233444214,3.298981755506247e-05,prior,0.2030925750732422,0.03317532688379288,0.06153817629848742,0.013363377857532445
17jinz16,2,100000,0.17090146243572235,0.000233963830396533,0.3005552887916565,0.000267235649516806,prior,0.1500154435634613,0.017605312168598175,0.051225969135918516,0.012526379469092455
dpymgbad,4,100000,0.1761799454689026,0.0006248687277548015,0.2527537941932678,0.0010616553481668234,prior,0.11001035571098328,0.00959157943725586,0.04655598953451049,0.012335862854271396
tqoxn029,8,100000,0.13838531076908112,0.0008231501560658216,0.17684438824653625,0.0013491552090272307,prior,0.046104997396469116,0.0044886767864227295,0.0301246281640528,0.010038846670232056
7shh42h0,16,100000,0.1077750027179718,0.0012675262987613678,0.1156177818775177,0.0024218587204813957,prior,0.018535852432250977,0.002093195915222168,0.019276318336326252,0.007829326518031117
7gem57bz,32,100000,0.0758662074804306,0.0022124690003693104,0.0799005851149559,0.003626943100243807,prior,0.009492874145507812,0.003001660108566284,0.014614481854267442,0.008772929609005867
7gbdequ3,64,100000,0.05358835309743881,0.003021522890776396,0.0542551651597023,0.003937851637601852,prior,0.006264597177505493,0.0011540651321411133,0.012555396728441115,0.007025579215141749
pof780dl,128,100000,0.03404000774025917,0.004634009674191475,0.03255016356706619,0.005618265364319086,prior,0.0018824636936187744,0.0006641149520874023,0.007945103566070456,0.006001503827016293
0sngbuv1,256,100000,0.019622977823019028,0.005629914812743664,0.01875731348991394,0.006421441212296486,prior,0.0019056200981140137,0.0008801519870758057,0.008478058401991192,0.006062257434760144
tjmlwajq,512,100000,0.011148294433951378,0.004542771726846695,0.010754849761724472,0.004480174742639065,prior,0.0013766288757324219,0.000668257474899292,0.006728389318482616,0.005834608391843092
e3laprz5,1024,100000,0.00611122278496623,0.0035522805992513895,0.0061268676072359085,0.0032839952036738396,prior,0.002068251371383667,0.0010405182838439941,0.008715481108733403,0.0063619259153135845
880rm7ou,2048,100000,0.0028450810350477695,0.002324722707271576,0.0031675565987825394,0.0021622104104608297,prior,0.0016957521438598633,0.0014625191688537598,0.007849066449834276,0.0073261198775682115
ku7hmtcg,4096,100000,0.0017921874532476068,0.0016919808695092797,0.0018525165505707264,0.0017399343196302652,prior,0.0026038289070129395,0.0024670660495758057,0.009150443647715594,0.008800950896022256
