run_id,num_tasks,kl_vs_memorising,kl_vs_generalising
lju0lrkc,1,3.2807696698000655e-05,0.3707098364830017
17jinz16,2,0.00018987595103681087,0.17997634410858154
dpymgbad,4,0.0001221315178554505,0.1509966254234314
tqoxn029,8,0.0002778921334538609,0.0704064667224884
7shh42h0,16,0.0004966699052602053,0.02386999875307083
7gem57bz,32,0.0007775026024319232,0.009851683862507343
7gbdequ3,64,0.00043126504169777036,0.009032545611262321
pof780dl,128,0.00043556251330301166,0.0026285271160304546
0sngbuv1,256,0.0006241808296181262,0.0025813900865614414
tjmlwajq,512,0.0006542311748489738,0.0022684086579829454
e3laprz5,1024,0.0004902067594230175,0.0008218775037676096
880rm7ou,2048,0.00022787385387346148,0.00018227112013846636
ku7hmtcg,4096,0.00029162794817239046,0.0004904604284092784
