step,ed_vs_baseline_memorising_from_prompts_memorising,sw_vs_baseline_memorising_from_prompts_memorising,ed_vs_baseline_generalising_from_prompts_memorising,sw_vs_baseline_generalising_from_prompts_memorising,ed_vs_baseline_misspecified_from_prompts_memorising,sw_vs_baseline_misspecified_from_prompts_memorising,ed_vs_baseline_memorising_from_prompts_generalising,sw_vs_baseline_memorising_from_prompts_generalising,ed_vs_baseline_generalising_from_prompts_generalising,sw_vs_baseline_generalising_from_prompts_generalising,ed_vs_baseline_misspecified_from_prompts_generalising,sw_vs_baseline_misspecified_from_prompts_generalising,delta_vs_baseline_memorising_on_data_memorising,delta_vs_baseline_generalising_on_data_memorising,delta_vs_baseline_misspecified_on_data_memorising,delta_vs_baseline_memorising_on_data_generalising,delta_vs_baseline_generalising_on_data_generalising,delta_vs_baseline_misspecified_on_data_generalising,delta_vs_baseline_memorising_on_random,delta_vs_baseline_generalising_on_random,delta_vs_baseline_misspecified_on_random
1,3.325296235084534,0.8953416385166819,1.7889996166888624,0.6613866496588678,1.8730439710617066,0.6813404487150811,3.084082593917847,0.8569091856931464,1.8748920957494284,0.6738363510500656,1.9496667504310607,0.6955550752558571,0.8415254950523376,0.7912682890892029,0.799972653388977,0.7271826267242432,0.9586158394813538,0.9694232940673828,0.38826119899749756,0.08637908101081848,0.08367304503917694
2,3.339036812782288,0.8965533353058203,1.7892162505757694,0.6606911549556158,1.868928577899933,0.6790319575715305,3.0876782846450808,0.8607234113675514,1.861622476583644,0.6726023911788072,1.929746332168579,0.6935724454005497,0.8415260314941406,0.7912686467170715,0.7999728918075562,0.7271771430969238,0.9586116671562195,0.9694190621376038,0.38826075196266174,0.08637574315071106,0.0836697667837143
3,3.318183808326721,0.8932911198841015,1.777742337446205,0.6586482476475917,1.8642491841316222,0.6793574180122276,3.0934779930114744,0.8590955383908091,1.8514001226634387,0.6697859985893448,1.9229718327522278,0.6911801383697143,0.8415265679359436,0.7912689447402954,0.7999728918075562,0.7271690964698792,0.9586054086685181,0.9694126844406128,0.38826024532318115,0.08637090027332306,0.08366497606039047
4,3.307339653968811,0.8905041520081372,1.766364828871381,0.6538154954823812,1.852616937160492,0.674480794315881,3.120718183517456,0.8605270372217285,1.8859600667075458,0.6744882986127912,1.9521284365653992,0.694301283074623,0.8415278196334839,0.7912699580192566,0.7999735474586487,0.727158784866333,0.9585980772972107,0.9694053530693054,0.38825923204421997,0.08636455982923508,0.08365873992443085
5,3.2902209329605103,0.8908622547158401,1.7581344314762948,0.6557319032964152,1.8453830075263977,0.6767896715378076,3.123649730682373,0.8648166618300044,1.8528874565429156,0.6710900328903081,1.9187154245376588,0.6916538905870112,0.8415284156799316,0.7912700176239014,0.7999732494354248,0.7271459102630615,0.9585879445075989,0.9693949818611145,0.3882583677768707,0.08635685592889786,0.08365114033222198
6,3.3128790950775144,0.8936017304622007,1.772970193761442,0.6594478426179794,1.8621001148223877,0.6796673627889974,3.1317806529998777,0.8617841275566692,1.8899824749637129,0.6769443095544875,1.9607101631164552,0.6978633577036668,0.8415288925170898,0.7912700176239014,0.799972653388977,0.7271299362182617,0.9585756063461304,0.9693824052810669,0.38825592398643494,0.08634723722934723,0.0836416706442833
7,3.287344746589661,0.8867681926935345,1.7637129975499062,0.6543074048589053,1.8505766916275024,0.6746841985390705,3.121554956436157,0.863563485516199,1.8858744235309624,0.6768196349498611,1.9522346663475036,0.6966860725677061,0.8415307998657227,0.7912709712982178,0.7999731302261353,0.7271122336387634,0.9585603475570679,0.9693670868873596,0.3882555365562439,0.08633648604154587,0.08363107591867447
8,3.354356551170349,0.8975393705685623,1.804140504095523,0.6627985972396178,1.8900965166091919,0.6829706959402998,3.0998731803894044,0.8607475377895271,1.8651702754096404,0.6722660553437139,1.9386594367027283,0.6933840256013606,0.8415324091911316,0.7912718057632446,0.7999732494354248,0.7270921468734741,0.9585436582565308,0.9693500995635986,0.3882545530796051,0.08632349967956543,0.08361826092004776
9,3.3297037172317503,0.893992318086586,1.7960808688033816,0.6602875105735626,1.8800812363624573,0.6807884909391403,3.1152690124511717,0.8613767410564503,1.858121327354687,0.6714897361806123,1.9266959309577942,0.6918401160751451,0.8415350317955017,0.7912735939025879,0.799974262714386,0.7270698547363281,0.958525538444519,0.9693316221237183,0.38825279474258423,0.08630944043397903,0.08360441029071808
10,3.3272066354751586,0.8971750982450227,1.7738978217585615,0.6582878032925455,1.8624638152122497,0.6781528946621367,3.1427717113494875,0.86756271549181,1.8690559067111618,0.6763067209166642,1.938353452682495,0.6970687216696106,0.841539204120636,0.7912768125534058,0.7999767065048218,0.7270451188087463,0.9585051536560059,0.9693109393119812,0.38825297355651855,0.08629374951124191,0.08358895778656006
11,3.328002872467041,0.8905767488762848,1.7917193740472381,0.6600774067572608,1.8759035110473632,0.6804385822344072,3.1101418924331665,0.8592014997155466,1.8710682842080704,0.6730607143194188,1.9399552607536317,0.6938601638639156,0.841545820236206,0.7912824153900146,0.7999814748764038,0.7270190119743347,0.9584840536117554,0.9692895412445068,0.38825488090515137,0.086277537047863,0.08357299864292145
