step,n_chains,ed_vs_baseline_in_distribution,sw_vs_baseline_in_distribution,ed_vs_baseline_out_of_distribution,sw_vs_baseline_out_of_distribution,ed_vs_baseline_in_distribution_from_prompts_in_distribution,sw_vs_baseline_in_distribution_from_prompts_in_distribution,ed_vs_baseline_out_of_distribution_from_prompts_in_distribution,sw_vs_baseline_out_of_distribution_from_prompts_in_distribution,ed_vs_baseline_in_distribution_from_prompts_out_of_distribution,sw_vs_baseline_in_distribution_from_prompts_out_of_distribution,ed_vs_baseline_out_of_distribution_from_prompts_out_of_distribution,sw_vs_baseline_out_of_distribution_from_prompts_out_of_distribution
1,32,0.2802945375442505,0.050808013451450966,0.2845909595489502,0.051591376515188386,0.8313592709600925,0.06337893422360985,0.28814826905727386,0.05102546214729656,0.6492583230137825,0.059564823329510345,0.29318179935216904,0.05197656981543116
200,32,0.0603032112121582,0.02748173424457215,0.06570613384246826,0.029723041675893194,0.6486694030463696,0.06003868928429629,0.160616897046566,0.0397563681997425,0.4830426722764969,0.051600635674676945,0.14519426226615906,0.038502534171505634
400,32,0.06845450401306152,0.02858989449822085,0.07125747203826904,0.029995278060732444,0.6052519045770168,0.05591620559327791,0.11668848991394043,0.034837865111126964,0.4443802908062935,0.049860091986720034,0.11074750125408173,0.03414730238370295
600,32,0.06973230838775635,0.027909280432150158,0.07189059257507324,0.031142043868702732,0.6146629862487316,0.0575052080541415,0.11296854168176651,0.034533171940965966,0.44221966713666916,0.05051053814514862,0.10656613111495972,0.0337178723475081
800,32,0.0692061185836792,0.02756186633813216,0.07367992401123047,0.030001966869832773,0.6187179870903492,0.057577690296000184,0.11726590245962143,0.035094314259972684,0.43890269100666046,0.050405415163301215,0.10306373983621597,0.03307564512926253
1000,32,0.07062351703643799,0.028827228404009052,0.07711434364318848,0.03129121170018144,0.5960019268095493,0.05650601804927434,0.10464760661125183,0.03364147044409398,0.4324198290705681,0.048882653426928685,0.09720289707183838,0.03262823519515358
1200,32,0.06445682048797607,0.026316754788638964,0.06594443321228027,0.030116779161677622,0.6014850921928883,0.05541607740724144,0.10074858367443085,0.03403316739764539,0.4452745094895363,0.05129353435427842,0.10082412511110306,0.033327461391712776
1400,32,0.07346689701080322,0.029294745080181202,0.07503938674926758,0.03180232916318148,0.5997034646570683,0.056417227935510114,0.10245838761329651,0.03311895368938615,0.4281286969780922,0.04813292510732732,0.09809666126966476,0.032919442909714186
1600,32,0.0715557336807251,0.028284630329711194,0.07257270812988281,0.029993955141022714,0.601631511002779,0.05690179612675721,0.10290827602148056,0.033032069646626444,0.4389110803604126,0.0500697759167809,0.09901274740695953,0.0329034204405572
1800,32,0.06947576999664307,0.02888595092348921,0.07293963432312012,0.03053970840490548,0.5945694036781788,0.055297280509374394,0.1009872630238533,0.03252126883179187,0.4338325262069702,0.04924480928488364,0.096724733710289,0.032885146404783946
2000,32,0.06825673580169678,0.027026361291296323,0.07156753540039062,0.031195692576278813,0.6021431349217892,0.05701935520243066,0.10135216265916824,0.03309184344189238,0.4383554011583328,0.0504848196074832,0.09968188405036926,0.03338844280736353
2200,32,0.06459248065948486,0.027372532351443615,0.07151389122009277,0.03172496778266935,0.6022503785789013,0.05727263466615823,0.09913522750139236,0.032682299998948845,0.4310034438967705,0.05010719395670145,0.09706351906061172,0.03275914607881986
2400,32,0.06391465663909912,0.02822861238436123,0.07288122177124023,0.02980329612733637,0.5937249697744846,0.05631846700956376,0.09918715059757233,0.03289185027616079,0.43514613062143326,0.04958703301009264,0.09661930054426193,0.032628465446756766
2600,32,0.0644834041595459,0.027755997758732685,0.06620848178863525,0.02973130851948951,0.5931282825767994,0.05551922766188393,0.09892426431179047,0.03244725141104916,0.4369241073727608,0.049045649698305195,0.09818217903375626,0.03302159755338201
2800,32,0.0719829797744751,0.03015146003468828,0.07530379295349121,0.03121547882488318,0.5910469703376293,0.05463492753190374,0.10262539237737656,0.03260533596692268,0.4273591861128807,0.049161554412743794,0.09896844625473022,0.032839871649088165
3000,32,0.057614684104919434,0.027289814643546885,0.06183028221130371,0.02859743906531861,0.5835959352552891,0.055896566676709364,0.09628593176603317,0.032479141049097326,0.4198707416653633,0.04886002852980317,0.09005427360534668,0.03207369520069472
3200,32,0.06287062168121338,0.029216615090123896,0.07072138786315918,0.0299650455357968,0.5877981893718243,0.05673754226568242,0.09392641484737396,0.03191161214260384,0.42550063878297806,0.05045351280273708,0.09157514572143555,0.032101157155628716
3400,32,0.06404435634613037,0.027892906847958678,0.07081365585327148,0.029864040977864558,0.5939307175576687,0.05549483165163019,0.0974872037768364,0.032815752380727266,0.4337213709950447,0.04956675075496725,0.09434357285499573,0.03223199248351255
