run_name,n_chains,checkpoint_step,prompt_source,prompt_length,n_samples,n_prompts,dist/ed_vs_baseline_in_distribution,dist/sw_vs_baseline_in_distribution,dist/ed_vs_baseline_out_of_distribution,dist/sw_vs_baseline_out_of_distribution
markov_k10_chains4_seq1024_lr6e-04_20260421_022615-retry-2,4,100000,N/A,0,128,0,0.0760224461555481,0.023452701484614657,0.165083646774292,0.039238885010956334
markov_k10_chains8_seq1024_lr6e-04_20260421_022617-retry-2,8,100000,N/A,0,128,0,0.04673779010772705,0.021770756036807407,0.07459843158721924,0.030059982994650215
markov_k10_chains16_seq1024_lr6e-04_20260421_022616-retry-2,16,100000,N/A,0,128,0,0.04616546630859375,0.024858759385737637,0.05064356327056885,0.027002495894407678
markov_k10_chains32_seq1024_lr6e-04_20260421_022616-retry-2,32,100000,N/A,0,128,0,0.03180384635925293,0.020657405734474145,0.03504812717437744,0.022637540638965677
markov_k10_chains64_seq1024_lr6e-04_20260421_022616-retry-2,64,100000,N/A,0,128,0,0.045478224754333496,0.023544291059830243,0.04694533348083496,0.02587253183702718
markov_k10_chains128_seq1024_lr6e-04_20260421_022617-retry-2,128,100000,N/A,0,128,0,0.06979799270629883,0.03059940443419841,0.07106804847717285,0.030865353312950296
markov_k10_chains256_seq1024_lr6e-04_20260421_022617-retry-2,256,100000,N/A,0,128,0,0.015461206436157227,0.018541950263195783,0.012228727340698242,0.017537317361573067
markov_k10_chains512_seq1024_lr6e-04_20260421_022617-retry-2,512,100000,N/A,0,128,0,0.005542635917663574,0.014752427326231525,0.006425023078918457,0.0159632580849466
markov_k10_chains1024_seq1024_lr6e-04_20260421_022617-retry-2,1024,100000,N/A,0,128,0,0.00697934627532959,0.01631053293476613,0.0062160491943359375,0.014638049973242261
markov_k10_chains2048_seq1024_lr6e-04_20260421_022617-retry-2,2048,100000,N/A,0,128,0,0.005832076072692871,0.015494087769074152,0.005227088928222656,0.01588224655776547
markov_k10_chains4_seq1024_lr6e-04_20260421_022615-retry-2,4,100000,in_distribution,8,128,16,0.2903270497918129,0.03361037248474058,0.49809057265520096,0.0638958135806511
markov_k10_chains4_seq1024_lr6e-04_20260421_022615-retry-2,4,100000,out_of_distribution,8,128,16,0.26974140852689743,0.03341166520107004,0.47843102365732193,0.061567617687647645
markov_k10_chains8_seq1024_lr6e-04_20260421_022617-retry-2,8,100000,in_distribution,8,128,16,0.29289062693715096,0.036124534511157866,0.3898284062743187,0.056694255584620254
markov_k10_chains8_seq1024_lr6e-04_20260421_022617-retry-2,8,100000,out_of_distribution,8,128,16,0.2830344643443823,0.03891825099755076,0.224001944065094,0.044740794246900376
markov_k10_chains16_seq1024_lr6e-04_20260421_022616-retry-2,16,100000,in_distribution,8,128,16,0.3283393085002899,0.04181760216875585,0.21481825411319733,0.04312209739566998
markov_k10_chains16_seq1024_lr6e-04_20260421_022616-retry-2,16,100000,out_of_distribution,8,128,16,0.30944387800991535,0.04348324778034806,0.14261884987354279,0.03670268396933451
markov_k10_chains32_seq1024_lr6e-04_20260421_022616-retry-2,32,100000,in_distribution,8,128,16,0.40912299416959286,0.0476915963693384,0.08716525137424469,0.030313814086408347
markov_k10_chains32_seq1024_lr6e-04_20260421_022616-retry-2,32,100000,out_of_distribution,8,128,16,0.3359200954437256,0.04513889141441762,0.07559993118047714,0.029027691698951114
markov_k10_chains64_seq1024_lr6e-04_20260421_022616-retry-2,64,100000,in_distribution,8,128,16,0.33980071544647217,0.044664424262372986,0.07784312218427658,0.02982870300436584
markov_k10_chains64_seq1024_lr6e-04_20260421_022616-retry-2,64,100000,out_of_distribution,8,128,16,0.3044700585305691,0.04341968935856848,0.07650542259216309,0.029826829528783384
markov_k10_chains128_seq1024_lr6e-04_20260421_022617-retry-2,128,100000,in_distribution,8,128,16,0.3053976893424988,0.043545806611555216,0.09524278342723846,0.033149323823543485
markov_k10_chains128_seq1024_lr6e-04_20260421_022617-retry-2,128,100000,out_of_distribution,8,128,16,0.27326880395412445,0.042278522193420695,0.0957452803850174,0.03387027598100435
markov_k10_chains256_seq1024_lr6e-04_20260421_022617-retry-2,256,100000,in_distribution,8,128,16,0.20075561851263046,0.03786586214925074,0.01749400794506073,0.018495984349718622
markov_k10_chains256_seq1024_lr6e-04_20260421_022617-retry-2,256,100000,out_of_distribution,8,128,16,0.156784288585186,0.03356578092364866,0.018398016691207886,0.018924671505151945
markov_k10_chains512_seq1024_lr6e-04_20260421_022617-retry-2,512,100000,in_distribution,8,128,16,0.09747329354286194,0.0287885994902834,0.01035984605550766,0.016486797272422332
markov_k10_chains512_seq1024_lr6e-04_20260421_022617-retry-2,512,100000,out_of_distribution,8,128,16,0.11116157099604607,0.02972065614815205,0.010031938552856445,0.016432779729616362
markov_k10_chains1024_seq1024_lr6e-04_20260421_022617-retry-2,1024,100000,in_distribution,8,128,16,0.07366111874580383,0.02602930331755183,0.008813492953777313,0.01635675753669929
markov_k10_chains1024_seq1024_lr6e-04_20260421_022617-retry-2,1024,100000,out_of_distribution,8,128,16,0.07530404254794121,0.025783284397754447,0.00863659381866455,0.016054514584802684
markov_k10_chains2048_seq1024_lr6e-04_20260421_022617-retry-2,2048,100000,in_distribution,8,128,16,0.05077101290225983,0.022719836990992216,0.009105667471885681,0.01608941309002386
markov_k10_chains2048_seq1024_lr6e-04_20260421_022617-retry-2,2048,100000,out_of_distribution,8,128,16,0.038603298366069794,0.02107532409491617,0.007903896272182465,0.015830568815398776
